Clave de Licencia,Tipo de Plan,Cliente Asignado (Escribe aquí),Vencimiento,Estado,Precio Sugerido
JL-PREM-344E-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-0ZE4-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-KU3G-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-7RF1-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-QIPT-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-XK6S-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-WFNG-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-487R-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-1XTG-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-GHI5-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-ZZH9-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-M9MK-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-XUWA-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-97GU-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-9DR8-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-ODG4-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-TG4J-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-QFQV-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-9HXX-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-VWDX-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-A6LO-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-XBMI-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-65KV-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-13BY-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-GP9X-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-CIMC-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-A5N8-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-SAVU-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-LIGH-MPGS-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-E4PB-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-ZX3L-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-E3QR-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-AH8D-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-OEWH-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-H2G6-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-TINL-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-DFSJ-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-G4SJ-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-I5VM-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-A0LP-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-7WBQ-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-4KRH-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-OGC1-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-ZNST-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-Y5G9-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-CHZK-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-R90F-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-2W2S-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-O14T-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-UKWA-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-FN8Q-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-E1IG-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-LOJ3-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-JI57-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-FBGV-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-YKZI-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-GULM-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-PK4N-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-8WBW-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-GVLD-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-3OLR-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-WFSS-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-ITGE-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-TSMU-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-3POZ-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-ARBL-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-AQ8X-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-JN9R-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-EABU-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-ORGN-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-L0OQ-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-6FRF-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-F6AL-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-Q2YY-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-HXWK-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-PUZ9-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-TZ7B-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
JL-LIGH-ARG8-2026,Light,,31/12/2026,DISPONIBLE,$300 MXN
